,name,Background,Body,Eyes,Hieroglyphs,Mouth,Accessories,Expression,Coins,Artifacts,Keyword
0,Chia Friends #1,Sea Foam,K32 (Steel),Closed,4.0,Sad (Steel),,,,,
1,Chia Friends #2,quexington,K32 (Steel),Blue,2.0,Sad (Steel),,,,,
2,Chia Friends #3,Swamp,Marmot (Purple),Enlightened,,Snout (Drool),,,,,
3,Chia Friends #4,Lilac,Parakeet (Green),3D Glasses,,Beak (Small),Mohawk (Purple),,,,
4,Chia Friends #5,Mint,Marmot (Brown),Cyborg,,Snout (Eating),,Wide Eyes,,,
5,Chia Friends #6,Fern & Sparkle,Marmot (Blue),Enlightened,,Snout (Drool),,,Triangle,,
6,Chia Friends #7,Yak & Gradient,Starling,3D Glasses,,Beak (Long),Mohawk (Red),,,,
7,Chia Friends #8,Flax,Cactus (Purple),3D Glasses,,Happy (Tan),,Wide Eyes,,Emerald,
8,Chia Friends #9,Cherry Blossom & Gradient,Cactus (Green),Blue,,Happy (Green),,Squint (Green),,,
9,Chia Friends #10,Banana,Broccoli (Green),Blue,,Smile (Green),Bow (Blue),Squint (Green),,,
10,Chia Friends #11,quexington & Gradient,Marmot (Brown),Orange,,Snout (Small),Mohawk (Green),,,,
11,Chia Friends #12,Jellyfish & Watercolor,Starling,Vipers,,Beak (Long),,,Hamburger,,
12,Chia Friends #13,Grid,K32 (Amethyst),Seer (Amethyst),3.0,Stoic,Bow (Green),,,,
13,Chia Friends #14,Green,Starling,3D Glasses,,Beak (Long),,,,Fireball (Yellow),
14,Chia Friends #15,Jellyfish,Marmot (Purple),Cyborg,,Snout (Hungry),,,,,
15,Chia Friends #16,Sea Foam,Broccoli (Purple),3D Glasses,,Ooo (Purple),,,,,
16,Chia Friends #17,Jellyfish,Parakeet (Yellow),Cyborg,,Beak (Small),,,,,
17,Chia Friends #18,Opaa & Watercolor,K32 (Steel),Green,2.0,Jagged (Steel),,,,Fireball (Green),
18,Chia Friends #19,Tuna,Starling,Rainbow,,Beak (Long),Mohawk (Purple),,,,
19,Chia Friends #20,Cherry Blossom,Marmot (Blue),Blue,,Snout (Tooth),,,Key,,
20,Chia Friends #21,Dan Perrywinkle,Marmot (Blue),Blue,,Snout (Hungry),,,,,
21,Chia Friends #22,Nighttime & Sparkle,K32 (Steel),Blue,2.0,Happy (Steel),,,,Emerald,
22,Chia Friends #23,Banana,Marmot (Brown),Laser Visor,,Snout (Hungry),Verdant,Wide Eyes,,,
23,Chia Friends #24,Dolphin & Glimmer,Parakeet (Yellow),Laser Visor,,Beak (Small),Verdant,,,,
24,Chia Friends #25,Worm,K32 (Steel),Blue,4.0,Smile (Steel),,,,Snow,
25,Chia Friends #26,Opaa & Gradient,K32 (Steel),Closed,1.0,Jagged (Steel),Bubblegum,,,Fireball (Yellow),
26,Chia Friends #27,Swamp & Gradient,K32 (Steel),Green,1.0,Happy (Steel),,,Butterfly,,
27,Chia Friends #28,Squash,K32 (Steel),Blue,2.0,Intercom (Steel),,,,,
28,Chia Friends #29,Watermellon & Gradient,Parakeet (Yellow),Vipers,,Beak (Small),,,,,
29,Chia Friends #30,Owl & Sparkle,Starling,Orange,,Beak (Long),,,,,
30,Chia Friends #31,Jellyfish & Watercolor,Parakeet (Green),Green,,Beak (Small),,,,,
31,Chia Friends #32,quexington,Starling,Purple,,Beak (Long),,,,,
32,Chia Friends #33,Dolphin,K32 (Steel),Green,1.0,Smile (Steel),,,,,
33,Chia Friends #34,Owl,Marmot (Brown),Cyborg,,Snout (Small),,,,Emerald,
34,Chia Friends #35,Gold Fish,Parakeet (Yellow),Rainbow,,Beak (Small),,,Leaf,,
35,Chia Friends #36,Tuna,Starling,Cyborg,,Beak (Long),,,,,
36,Chia Friends #37,Dolphin,Starling,Orange,,Beak (Long),Flower (Red),,,,
37,Chia Friends #38,Nighttime,Starling,Enlightened,,Beak (Long),,,,Fish,
38,Chia Friends #39,Worm,Starling,Cyborg,,Beak (Long),,,,,
39,Chia Friends #40,Slate,Parakeet (Yellow),Purple,,Beak (Small),Verdant,,,,
40,Chia Friends #41,Sea Foam,Parakeet (Green),Rainbow,,Beak (Small),,,,Emerald,
41,Chia Friends #42,Cranberry & Gradient,Starling,Cyborg,,Beak (Long),,,,Halo,
42,Chia Friends #43,Mint,Marmot (Brown),Laser Visor,,Snout (Eating),,,Pi,,
43,Chia Friends #44,Dolphin & Gradient,Marmot (Brown),Blue,,Snout (Sullen),,Wide Eyes,,Emerald,
44,Chia Friends #45,Green & Glimmer,Broccoli (Green),Blue,,Carne (Green),,Wide Eyes,,Emerald,
45,Chia Friends #46,Sand & Shimmer,Starling,Blue,,Beak (Long),,,,,
46,Chia Friends #47,Fern,Seal,Orange,,Snout (Small),,Wide Eyes,Eye,,
47,Chia Friends #48,Nighttime & Watercolor,Broccoli (Green),Green,,Frown (Green),,Angry (Green),,,
48,Chia Friends #49,Cherry Blossom,Parakeet (Yellow),Red,,Beak (Small),,,,,
49,Chia Friends #50,Banana & Watercolor,Marmot (Brown),Green,,Snout (Sullen),,Squint (Brown),,,
50,Chia Friends #51,Banana,Seal,Cyborg,,Snout (Hungry),,Wide Eyes,,,
51,Chia Friends #52,Sand,Parakeet (Yellow),Purple,,Beak (Small),,,,,
52,Chia Friends #53,Dan Perrywinkle,Cactus (Ded),Zombie,,Yum,,Wide Eyes,,,
53,Chia Friends #54,Dan Perrywinkle,Cactus (Red),Purple,,Smile (Purple),,Squint (Purple),,,
54,Chia Friends #55,,Timelord (Skull),,,,,,,,
55,Chia Friends #56,Owl,Marmot (Brown),Vipers,,Snout (Drool),,Wide Eyes,Skull,,
56,Chia Friends #57,Green Lasers & Stars,Seal,3D Glasses,,Snout (Hungry),Verdant,,Heart,,
57,Chia Friends #58,Cherry Blossom & Gradient,Starling,Orange,,Beak (Long),Verdant,,,,
58,Chia Friends #59,Ice,Marmot (Blue),Enlightened,,Snout (Eating),,Wide Eyes,,,
59,Chia Friends #60,Swamp & Gradient,K32 (Steel),Green,2.0,Smile (Steel),,,,,
