,name,Background,Body,Eyes,Hieroglyphs,Mouth,Accessories,Expression,Coins,Artifacts,Keyword,alpha
5,Chia Friends #5,Mint,Marmot (Brown),Cyborg,,Snout (Eating),,Wide Eyes,,,,79
43,Chia Friends #43,Mint,Marmot (Brown),Laser Visor,,Snout (Eating),,,Pi,,,79
72,Chia Friends #72,Mint,Parakeet (Green),Vipers,,Beak (Small),,,,Halo,,79
101,Chia Friends #101,Mint,Cactus (esaung),Enlightened,,Carne (Tan),,Wide Eyes,,,,79
123,Chia Friends #123,Mint & Gradient,K32 (Steel),Blue,2.0,Sad (Steel),,,,,,141
142,Chia Friends #142,Mint,Parakeet (Yellow),Blue,,Beak (Small),,,,,,79
169,Chia Friends #169,Mint,Parakeet (Yellow),Orange,,Beak (Small),,,,Fireball (Yellow),,79
180,Chia Friends #180,Mint,Parakeet (Yellow),Rainbow,,Beak (Small),Flower (Red),,,,,79
194,Chia Friends #194,Mint & Watercolor,Cactus (Green),Laser Visor,,Carne (Green),,,,,,103
208,Chia Friends #208,Mint,Cactus (Green),3D Glasses,,Frown (Green),,,Butterfly,,,79
272,Chia Friends #272,Mint & Watercolor,Broccoli (Purple),Purple,,Ooo (Purple),,,,,,103
309,Chia Friends #309,Mint,K32 (Steel),Closed,4.0,Sad (Steel),Verdant,,,Emerald,,81
364,Chia Friends #364,Mint & Glimmer,K32 (Steel),Blue,1.0,Jagged (Steel),Bubblegum,,,,,81
408,Chia Friends #408,Mint,Marmot (Brown),Green,,Snout (Sullen),,Squint (Brown),,,,79
420,Chia Friends #420,Mint,Parakeet (Green),Green,,Beak (Small),,,,Fish,,79
421,Chia Friends #421,Mint,Cactus (Green),Purple,,Smile (Green),,Wide Eyes,,,,79
441,Chia Friends #441,Mint & Watercolor,Seal,Green,,Snout (Sullen),,Wide Eyes,,Ruby,,103
486,Chia Friends #486,Mint,Parakeet (Yellow),Laser Visor,,Beak (Small),,,Crown,,,79
490,Chia Friends #490,Mint & Shimmer,Cucumber,Vipers,,Ooo (Green),,Wide Eyes,,,,79
538,Chia Friends #538,Mint,Parakeet (Yellow),Laser Visor,,Beak (Small),Flower (Yellow),,,,,79
553,Chia Friends #553,Mint & Shimmer,Broccoli (Purple),Cyborg,,Ooo (Purple),,Wide Eyes,,,,79
675,Chia Friends #675,Mint,Marmot (Brown),Purple,,Snout (Eating),,,Asterisk,,,79
682,Chia Friends #682,Mint & Gradient,Marmot (Purple),Rainbow,,Snout (Eating),,Wide Eyes,,,,139
767,Chia Friends #767,Mint & Watercolor,Parakeet (Yellow),Shades,,Beak (Small),,,,,,103
781,Chia Friends #781,Mint,Starling,Zombie,,Beak (Long),,,,,,79
798,Chia Friends #798,Mint & Watercolor,Cactus (Green),Orange,,Carne (Green),,Angry (Green),,Yoyo,,103
834,Chia Friends #834,Mint,Marmot (Gray),Rainbow,,Snout (Eating),,,,,,79
960,Chia Friends #960,Mint & Gradient,Starling,Laser Visor,,Beak (Long),,,,,,139
967,Chia Friends #967,Mint & Gradient,Cactus (esaung),Laser Visor,,Carne (Purple),,Wide Eyes,,Emerald,,139
987,Chia Friends #987,Mint & Gradient,K32 (Steel),Closed,4.0,Jagged (Steel),Bow (Blue),,Flame,,,141
